timestamp,x,y,z
1747139849335,9.5795,2.099715,2.1978772
1747139849338,9.502886,2.0949266,2.1428106
1747139849352,9.490914,2.0685902,2.1691468
1747139849357,9.455002,2.0350714,2.2146366
1747139849368,9.517251,1.9967642,2.171541
1747139849384,9.519646,1.9632454,2.2409728
1747139849387,9.478944,1.970428,2.3870192
1747139849401,9.421483,1.8722657,2.4588451
1747139849407,9.270648,1.7764976,2.5306711
1747139849418,9.170092,1.7405846,2.6168625
1747139849434,9.131784,1.7070658,2.5809495
1747139849438,9.141361,1.6328455,2.6024973
1747139849451,9.117419,1.5514427,2.5378537
1747139849458,9.126996,1.4915876,2.5330653
1747139849468,9.201217,1.4867992,2.5234885
1747139849484,9.167698,1.4748282,2.554613
1747139849487,9.155726,1.5298948,2.5953147
1747139849501,9.194034,1.5705963,2.645593
1747139849508,9.261071,1.5514427,2.6384103
1747139849518,9.421483,1.5442601,2.5761611
1747139849534,9.593865,1.5729905,2.5474305
1747139849538,9.601048,1.5705963,2.4851813
1747139849551,9.522039,1.5825673,2.3750482
1747139849558,9.445425,1.6400281,2.3582888
1747139849568,9.452607,1.7310078,2.3750482
1747139849586,9.483732,1.7645266,2.3343468
1747139849587,9.548376,1.7836803,2.3295584
1747139849601,9.577106,1.7860745,2.315193
1747139849608,9.5531645,1.7860745,2.303222
1747139849618,9.565135,1.7884687,2.3104045
1747139849634,9.644144,1.8219875,2.3295584
1747139849638,9.749489,1.8531121,2.348712
1747139849651,9.792584,1.9129672,2.3511062
1747139849658,9.809343,1.9656396,2.3199813
1747139849668,9.816526,1.9488802,2.336741
1747139849684,9.840468,1.9416976,2.2984335
1747139849688,9.787796,1.9512744,2.1930888
1747139849701,9.71597,1.9512744,2.15957
1747139849708,9.644144,1.9369092,2.1787236
1747139849718,9.5531645,1.9608512,2.2218192
1747139849735,9.519646,1.9512744,2.2768857
1747139849738,9.498097,1.9488802,2.4181437
1747139849753,9.44303,1.9512744,2.4732103
1747139849758,9.390358,1.9177556,2.4229321
1747139849768,9.366416,1.8962077,2.4588451
1747139849785,9.428665,1.9393034,2.468422
1747139849788,9.502886,1.9608512,2.4612393
1747139849802,9.603442,1.9656396,2.384625
1747139849807,9.62499,1.8579005,2.2840683
1747139849818,9.627384,1.7788919,2.2649148
1747139849834,9.644144,1.7717092,2.327164
1747139849838,9.632173,1.757344,2.4396915
1747139849851,9.639356,1.7166426,2.5115175
1747139849858,9.67048,1.7046716,2.585738
1747139849869,9.653721,1.7070658,2.5498247
1747139849885,9.581895,1.697489,2.5330653
1747139849887,9.55077,1.6639702,2.4875755
1747139849902,9.5531645,1.6759412,2.5115175
1747139849908,9.605837,1.7142484,2.5498247
1747139849918,9.692028,1.6687586,2.504335
1747139849936,9.694422,1.6136919,2.5210943
1747139849938,9.648932,1.6927006,2.5450363
1747139849952,9.560347,1.7429788,2.5689783
1747139849957,9.481338,1.7860745,2.5809495
1747139849969,9.452607,1.7980455,2.5833437
1747139849985,9.488521,1.8052281,2.5594015
1747139849989,9.577106,1.8219875,2.552219
1747139850002,9.653721,1.8555063,2.5139117
1747139850008,9.677663,1.8914193,2.468422
1747139850019,9.7447,1.8938135,2.4468741
1747139850035,9.739912,1.8794483,2.4277205
1747139850038,9.797373,1.8579005,2.4732103
1747139850052,9.852439,1.8962077,2.5354595
1747139850058,9.888352,1.9201498,2.597709
1747139850069,9.809343,1.9249382,2.6408045
1747139850086,9.706393,1.9895816,2.6910827
1747139850088,9.569923,2.0207062,2.681506
1747139850102,9.402329,2.006341,2.6072857
1747139850108,9.421483,2.0015526,2.6886885
1747139850118,9.548376,2.0087352,2.8323407
1747139850134,9.708787,1.9967642,2.8538885
1747139850138,9.785401,1.9608512,2.8754363
1747139850152,9.754277,1.8698715,2.8658595
1747139850158,9.519646,1.7597382,2.980781
1747139850170,9.342474,1.6424223,3.1890767
1747139850186,9.26586,1.5777789,3.3518825
1747139850188,9.325715,1.5945383,3.5362358
1747139850202,9.364022,1.5825673,3.8259344
1747139850207,9.428665,1.6208745,4.015076
1747139850219,9.423877,1.6328455,4.209007
1747139850236,9.292196,1.6783354,4.271256
1747139850237,9.00968,1.745373,4.003105
1747139850252,8.782231,1.7741034,3.8738184
1747139850257,8.676887,1.8411411,3.9456444
1747139850270,8.602666,1.9991584,4.0438066
1747139850285,8.571542,2.099715,4.1180267
1747139850288,8.569147,2.111686,4.1299977
1747139850302,8.640973,2.0853498,4.1419687
1747139850308,8.789413,2.0278888,4.146757
1747139850319,8.923489,2.006341,4.0677485
1747139850336,8.9641905,1.9800048,4.0198646
1747139850338,8.968979,1.9608512,4.1491513
1747139850354,8.971373,1.8674773,4.4795513
1747139850358,8.949825,1.7717092,4.7907977
1747139850369,8.937854,1.7046716,5.028123
1747139850386,8.976161,1.7286136,5.0257287
1747139850387,8.968979,1.7357962,4.855441
1747139850402,8.8684225,1.6950948,4.548983
1747139850408,8.674492,1.6376339,4.2161894
1747139850419,8.51408,1.5801731,4.10845
1747139850435,8.504503,1.5298948,4.256891
1747139850438,8.583512,1.4987702,4.584896
1747139850453,8.67928,1.2952632,4.783615
1747139850457,8.432677,1.3263878,4.8841715
1747139850470,8.3033905,1.7286136,5.0688243
1747139850486,8.169315,1.8435353,5.1286793
1747139850487,8.229171,1.8842367,5.0257287
1747139850502,8.289025,1.9129672,4.994604
1747139850507,8.193257,2.0973208,5.099949
1747139850519,8.099884,2.3463178,5.1406503
1747139850537,7.9442606,2.6144683,4.9850273
1747139850538,7.793426,2.89459,4.709395
1747139850553,7.712023,3.1268275,4.5537715
1747139850558,7.592313,3.3135753,4.405331
1747139850569,7.558794,3.430891,4.3287168
1747139850585,7.664139,3.6152446,4.474763
1747139850588,7.867646,3.8666358,4.675876
1747139850602,8.17171,3.9624038,4.7500963
1747139850607,8.346486,4.072537,4.501099
1747139850620,8.267478,4.1371803,4.146757
1747139850636,7.9179244,4.187459,4.175488
1747139850638,7.463026,4.3263226,4.5034933
1747139850652,7.2212114,4.3981485,4.673482
