timestamp,x,y,z
1747137046506,-5.070864,4.3042636,7.2062397
1747137046508,-5.3135123,4.357154,6.996581
1747137046525,-5.5717278,4.4192767,6.7524934
1747137046529,-5.8205886,4.487503,6.4925566
1747137046542,-6.0374365,4.5563507,6.2417345
1747137046556,-6.2184076,4.621683,6.011803
1747137046557,-6.3674974,4.6818824,5.8056126
1747137046573,-6.489459,4.73172,5.6274333
1747137046578,-6.595833,4.7715096,5.4679036
1747137046590,-6.694264,4.8113775,5.31109
1747137046609,-6.7851696,4.8392005,5.1685495
1747137046609,-6.8621445,4.8507495,5.054843
1747137046624,-6.919238,4.845844,4.98117
1747137046627,-6.943306,4.8287606,4.964252
1747137046643,-6.9239125,4.8051023,5.0140443
1747137046647,-6.8622403,4.775799,5.125586
1747137046658,-6.7474637,4.745802,5.302767
1747137046674,-6.6358075,4.718988,5.4651046
1747137046677,-6.5387917,4.6940374,5.6018353
1747137046693,-6.448566,4.668398,5.7264566
1747137046697,-6.361853,4.6417093,5.843935
1747137046708,-6.277673,4.614687,5.9553165
1747137046724,-6.190938,4.587486,6.066098
1747137046727,-6.095733,4.559514,6.1824856
1747137046741,-5.9912267,4.5300937,6.30506
1747137046759,-5.878526,4.498999,6.432123
1747137046759,-5.7605762,4.4619045,6.563345
1747137046774,-5.6387544,4.4197025,6.6963367
1747137046778,-5.5121074,4.374313,6.8302565
1747137046791,-5.378072,4.3303432,6.9638186
1747137046797,-5.2353263,4.290448,7.096033
1747137046809,-5.08431,4.255947,7.225443
1747137046825,-4.927735,4.2291684,7.3485975
1747137046827,-4.777415,4.208559,7.458863
1747137046841,-4.640916,4.1934643,7.552953
1747137046847,-4.511682,4.181642,7.6373367
1747137046860,-4.386655,4.1719575,7.715074
1747137046876,-4.2691593,4.1633606,7.785306
1747137046877,-4.1579676,4.155204,7.8495812
1747137046891,-4.0489316,4.1467686,7.910804
1747137046898,-3.9418423,4.1378856,7.9693236
1747137046909,-3.8404152,4.128388,8.023589
1747137046925,-3.747706,4.1184783,8.072371
1747137046927,-3.663606,4.1080875,8.116152
1747137046943,-3.589601,4.0972867,8.154589
1747137046947,-3.5288026,4.0848765,8.187288
1747137046961,-3.4770856,4.0717797,8.215887
1747137046976,-3.4386742,4.060351,8.23768
1747137046977,-3.4032767,4.0490885,8.257901
1747137046992,-3.3723578,4.0388823,8.275566
1747137046997,-3.3411343,4.0281854,8.293423
1747137047009,-3.3098798,4.016897,8.311414
1747137047027,-3.2781496,4.0048304,8.329789
1747137047028,-3.2461967,3.991949,8.348468
1747137047042,-3.2165308,3.978287,8.366452
1747137047047,-3.191735,3.964764,8.382352
1747137047058,-3.172968,3.9520688,8.395461
1747137047074,-3.1575856,3.9410741,8.406423
1747137047078,-3.1415994,3.9331448,8.41612
1747137047093,-3.1226642,3.9284813,8.425342
1747137047098,-3.1009314,3.9267106,8.434187
1747137047110,-3.0772943,3.9271257,8.442645
1747137047126,-3.0527155,3.9288268,8.450775
1747137047129,-3.0290053,3.930849,8.458364
1747137047143,-3.0070262,3.9319556,8.465686
1747137047147,-2.9878728,3.9293458,8.473678
1747137047162,-2.96957,3.9224179,8.483316
1747137047176,-2.9458008,3.9110389,8.496844
1747137047179,-2.909352,3.8953364,8.516593
1747137047193,-2.8572276,3.8757958,8.543116
1747137047198,-2.7903862,3.8529792,8.575467
1747137047211,-2.7161505,3.8270466,8.610841
1747137047226,-2.6428158,3.798458,8.646248
1747137047228,-2.5747898,3.7683556,8.679879
1747137047244,-2.5141578,3.737761,8.710828
1747137047248,-2.4613988,3.7087336,8.738259
1747137047263,-2.4135923,3.68312,8.762395
1747137047267,-2.3670695,3.6616032,8.784077
1747137047279,-2.320775,3.644532,8.803509
1747137047293,-2.2746606,3.63145,8.820931
1747137047298,-2.231009,3.6213622,8.836214
1747137047312,-2.1946821,3.6138048,8.848396
1747137047327,-2.1656563,3.6068177,8.858397
1747137047328,-2.1445673,3.5996828,8.866425
1747137047344,-2.1323478,3.5923574,8.872341
1747137047348,-2.1276515,3.58458,8.876613
1747137047361,-2.128906,3.5757446,8.879875
1747137047378,-2.1362424,3.5654278,8.882261
1747137047379,-2.1491518,3.553833,8.883793
1747137047393,-2.16699,3.5417118,8.884301
1747137047398,-2.1886933,3.530304,8.88352
1747137047412,-2.215488,3.5201411,8.880911
1747137047427,-2.2499692,3.5100794,8.8762245
1747137047429,-2.2906637,3.4998577,8.86985
1747137047445,-2.3382533,3.490168,8.861244
