timestamp,x,y,z
1747140509204,1.0744097,-0.2825007,9.743523
1747140509209,1.0754935,-0.28317258,9.743383
1747140509225,1.0780178,-0.28226358,9.74313
1747140509238,1.0814,-0.2809193,9.742795
1747140509239,1.083964,-0.2800564,9.742535
1747140509254,1.0847824,-0.28041917,9.742433
1747140509259,1.0835029,-0.28288049,9.742504
1747140509272,1.0810493,-0.28766388,9.742637
1747140509288,1.0781193,-0.293405,9.74279
1747140509288,1.0763944,-0.29822522,9.742834
1747140509305,1.0756353,-0.3010732,9.742831
1747140509309,1.0751163,-0.30184072,9.742865
1747140509322,1.0746044,-0.30111662,9.742943
1747140509338,1.0753604,-0.29877663,9.742932
1747140509338,1.075735,-0.29525515,9.742998
1747140509354,1.0756633,-0.29122058,9.743127
1747140509359,1.0756466,-0.2881161,9.743221
1747140509371,1.0756497,-0.28679192,9.74326
1747140509378,1.0751039,-0.28702578,9.743314
1747140509390,1.0735273,-0.288385,9.743447
1747140509404,1.0717772,-0.29051682,9.743577
1747140509410,1.0700825,-0.29203677,9.743717
1747140509422,1.0688012,-0.29175723,9.743866
1747140509437,1.0671844,-0.28944027,9.744113
1747140509438,1.0660961,-0.2857735,9.74434
1747140509456,1.0652449,-0.2820619,9.74454
1747140509458,1.0642874,-0.2797398,9.744713
1747140509471,1.0625786,-0.27911088,9.744918
1747140509488,1.0587946,-0.28019032,9.745297
1747140509488,1.0520072,-0.28315568,9.745948
1747140509506,1.0417429,-0.28491455,9.746999
1747140509511,1.0323496,-0.28388253,9.748028
1747140509522,1.0258985,-0.2767656,9.748914
1747140509529,1.0221081,-0.26245636,9.749708
1747140509538,1.0216899,-0.24262662,9.750265
1747140509555,1.0246594,-0.22007069,9.750488
1747140509558,1.0312926,-0.19604863,9.750301
1747140509571,1.0388323,-0.17309885,9.749936
1747140509589,1.0479469,-0.15406258,9.74928
1747140509589,1.0572679,-0.14072695,9.748475
1747140509605,1.0656669,-0.13388619,9.747657
1747140509608,1.0719943,-0.13183129,9.746991
1747140509622,1.0740275,-0.13249731,9.746758
1747140509639,1.0727453,-0.13498358,9.746865
1747140509639,1.0702386,-0.1395383,9.747077
1747140509655,1.0691621,-0.14294574,9.747146
1747140509658,1.0687025,-0.14445056,9.747173
1747140509672,1.0689058,-0.1438129,9.747161
1747140509679,1.0695407,-0.1409846,9.747132
1747140509689,1.0713105,-0.13688053,9.746997
1747140509704,1.0737271,-0.13248833,9.746792
1747140509708,1.0754886,-0.12964827,9.746635
1747140509721,1.076655,-0.12982593,9.746504
1747140509738,1.076055,-0.13250105,9.746534
1747140509739,1.0737393,-0.13700786,9.746728
1747140509755,1.0707295,-0.14163928,9.746992
1747140509760,1.0694007,-0.14464927,9.747094
1747140509772,1.0706146,-0.14536068,9.74695
1747140509789,1.0726699,-0.144665,9.746735
1747140509789,1.0739554,-0.14427288,9.746598
1747140509805,1.0741245,-0.1457862,9.746558
1747140509810,1.0741844,-0.14968403,9.746492
1747140509821,1.0751001,-0.1558871,9.746294
1747140509828,1.0761739,-0.1621836,9.746073
1747140509838,1.0765834,-0.16779235,9.745933
1747140509855,1.0758407,-0.17254956,9.745932
1747140509860,1.0742364,-0.17736664,9.746022
1747140509872,1.0721916,-0.18231876,9.746157
1747140509879,1.0705417,-0.1864371,9.746259
1747140509889,1.0696323,-0.18919042,9.746306
1747140509905,1.0692735,-0.19015482,9.746326
1747140509908,1.0685223,-0.19035387,9.746406
1747140509922,1.0683973,-0.19020654,9.746422
1747140509928,1.0688725,-0.19031335,9.746367
1747140509939,1.0701139,-0.19024898,9.746233
1747140509955,1.0726991,-0.18893695,9.745974
1747140509959,1.077098,-0.18555492,9.745554
1747140509972,1.0814373,-0.18058278,9.745166
1747140509979,1.0871253,-0.17647377,9.744609
1747140509989,1.09564,-0.17155176,9.743743
1747140510006,1.1064771,-0.16475977,9.742636
1747140510010,1.1173592,-0.15686175,9.741524
1747140510022,1.1280804,-0.15000632,9.7403965
1747140510030,1.1383367,-0.14496145,9.73928
1747140510039,1.1468338,-0.14193748,9.738327
1747140510056,1.1539512,-0.14019947,9.737511
1747140510058,1.160624,-0.13867842,9.736739
