timestamp,x,y,z
1747062048448,-2.4462497,1.0514647,9.438256
1747062048454,-2.4358683,1.0574725,9.4402685
1747062048465,-2.4331045,1.0638173,9.4402685
1747062048480,-2.4381351,1.0702269,9.438246
1747062048483,-2.45038,1.0763841,9.434374
1747062048498,-2.4695482,1.0824085,9.428685
1747062048514,-2.4964392,1.0882299,9.42093
1747062048514,-2.5319598,1.094147,9.410759
1747062048529,-2.5758157,1.1003585,9.398126
1747062048534,-2.6273808,1.1072884,9.383025
1747062048546,-2.6865623,1.1148183,9.365359
1747062048553,-2.7536473,1.1227437,9.344905
1747062048564,-2.829139,1.1303012,9.321415
1747062048579,-2.9123032,1.1370924,9.294939
1747062048583,-3.001977,1.1429405,9.265646
1747062048598,-3.0980546,1.1483234,9.233298
1747062048614,-3.2014496,1.1538072,9.197272
1747062048615,-3.3173685,1.1592299,9.155415
1747062048630,-3.4433193,1.1640099,9.108184
1747062048634,-3.579214,1.1669321,9.055267
1747062048648,-3.7216508,1.1677983,8.997552
1747062048653,-3.8686986,1.1670742,8.935405
1747062048664,-4.0203137,1.1652132,8.868467
1747062048680,-4.1757116,1.162743,8.796694
1747062048683,-4.335782,1.1608348,8.719164
1747062048698,-4.5034723,1.1608953,8.633736
1747062048702,-4.6806602,1.1643201,8.538509
1747062048713,-4.8665338,1.1714216,8.43297
1747062048731,-5.0589337,1.1811376,8.317597
1747062048732,-5.256368,1.1918256,8.192709
1747062048747,-5.4571366,1.202112,8.05884
1747062048753,-5.6596794,1.2112685,7.916516
1747062048764,-5.863796,1.2202247,7.7651315
1747062048786,-6.076258,1.2312666,7.5982504
1747062048786,-6.2959146,1.244949,7.4149747
1747062048796,-6.523745,1.261555,7.2124605
1747062048813,-6.7567687,1.2803622,6.991216
1747062048813,-6.9918246,1.3009624,6.7521973
1747062048830,-7.2253175,1.3238181,6.49712
1747062048833,-7.4558196,1.3490368,6.225837
1747062048848,-7.678579,1.3757024,5.9428215
1747062048864,-7.892865,1.4030175,5.648406
1747062048864,-8.100967,1.430689,5.3383145
1747062048881,-8.299524,1.4585495,5.0160575
1747062048884,-8.48845,1.486209,4.680561
1747062048897,-8.666024,1.5157524,4.3327456
1747062048903,-8.830981,1.5497762,3.9726796
1747062048915,-8.98028,1.5901117,3.6050487
1747062048930,-9.110692,1.6338272,3.23977
1747062048933,-9.221726,1.6679734,2.8892572
1747062048946,-9.3173485,1.6936903,2.5472775
1747062048953,-9.395687,1.7181708,2.2224271
1747062048964,-9.457458,1.7427058,1.9207916
1747062048982,-9.503166,1.7722195,1.6489544
1747062048983,-9.535535,1.8080301,1.4052509
1747062048997,-9.557382,1.8475184,1.1887714
1747062049004,-9.570568,1.8884043,1.0041554
1747062049014,-9.576677,1.9284238,0.85931206
1747062049031,-9.5772915,1.9667377,0.7599901
1747062049032,-9.573632,2.0028088,0.71016604
1747062049047,-9.56679,2.034564,0.71216047
1747062049054,-9.557138,2.060342,0.7655957
1747062049064,-9.544709,2.0790992,0.8636422
1747062049081,-9.5294075,2.0924292,0.9910475
1747062049085,-9.51126,2.1017275,1.1352544
1747062049097,-9.490504,2.1067677,1.2891853
1747062049103,-9.467394,2.1110806,1.4428514
1747062049114,-9.441948,2.1150165,1.5957507
1747062049131,-9.414273,2.1181598,1.7478415
1747062049133,-9.384825,2.120117,1.8974633
1747062049147,-9.353907,2.120259,2.0442853
1747062049153,-9.320797,2.1178746,2.1925955
1747062049166,-9.284026,2.1125135,2.348253
1747062049181,-9.243243,2.1036003,2.5114906
1747062049182,-9.199239,2.0917006,2.6775036
1747062049196,-9.154484,2.0759292,2.8383167
1747062049203,-9.110871,2.0562563,2.9889803
1747062049214,-9.0684395,2.0339894,3.1299248
1747062049230,-9.0281105,2.0091856,3.259829
1747062049233,-8.992193,1.9805226,3.3746254
1747062049247,-8.961625,1.9472884,3.4738476
1747062049253,-8.933093,1.9078394,3.567934
1747062049264,-8.90146,1.8653677,3.6680648
1747062049282,-8.866626,1.8204962,3.7734356
1747062049283,-8.829124,1.7718284,3.8829515
1747062049297,-8.787114,1.7189031,4.0002646
1747062049303,-8.740864,1.6636251,4.123104
1747062049315,-8.693693,1.6091604,4.242707
