timestamp,x,y,z
1747062827310,0.088585466,-0.58657944,9.466972
1747062827315,0.15322891,-0.7350199,9.373599
1747062827328,0.16759412,-0.8571242,9.359234
1747062827343,0.107739076,-0.9768343,9.337686
1747062827344,0.019153614,-1.1300632,9.308955
1747062827360,0.0,-1.2473791,9.43106
1747062827366,-0.01436521,-1.340753,9.648932
1747062827377,0.10534488,-1.3814543,9.766248
1747062827393,0.30885202,-1.4221559,9.62499
1747062827394,0.50038815,-1.4867992,9.593865
1747062827410,0.6584055,-1.5227122,9.754277
1747062827414,0.8475474,-1.5969325,9.840468
1747062827426,1.0366893,-1.6759412,9.759066
1747062827434,1.13964,-1.7405846,9.809343
1747062827444,1.2401965,-1.7717092,9.952995
1747062827459,1.3120226,-1.7812861,10.036793
1747062827464,1.3670892,-1.7357962,9.960178
1747062827477,1.4317327,-1.661576,9.804555
1747062827484,1.4652514,-1.5658079,9.727941
1747062827495,1.4652514,-1.5011644,9.826103
1747062827509,1.4293385,-1.5011644,9.86441
1747062827514,1.3790601,-1.4772224,9.804555
1747062827526,1.3383588,-1.4508862,9.888352
1747062827542,1.3239936,-1.4101849,9.8955345
1747062827545,1.3431472,-1.3934253,9.739912
1747062827560,1.4269443,-1.3694834,9.696816
1747062827563,1.541866,-1.364695,9.766248
1747062827576,1.5969325,-1.3383588,9.775825
1747062827593,1.5993267,-1.2521675,9.703999
1747062827594,1.5251064,-1.1611878,9.644144
1747062827611,1.3790601,-1.055843,9.574712
1747062827615,1.2018893,-0.9911995,9.519646
1747062827626,1.043872,-0.9600749,9.55077
1747062827644,0.91219085,-1.0342951,9.622596
1747062827644,0.830788,-1.1013328,9.694422
1747062827660,0.770933,-1.1875241,10.017639
1747062827666,0.7469909,-1.1444284,10.369587
1747062827677,0.8331822,-1.0007763,10.149321
1747062827684,1.0079589,-0.8403648,9.589077
1747062827694,1.1683705,-0.7254431,9.404723
1747062827710,1.2282255,-0.6536171,9.598654
1747062827715,1.13964,-0.63206923,9.622596
1747062827728,0.94570965,-0.6584055,9.447819
1747062827743,0.6943185,-0.7493851,9.263466
1747062827744,0.51235914,-0.91458505,9.387964
1747062827760,0.4213795,-1.1109096,9.725547
1747062827765,0.4381389,-1.2521675,9.948207
1747062827777,0.51954174,-1.3718776,9.93863
1747062827793,0.62249243,-1.388637,9.897929
1747062827794,0.7015011,-1.3383588,9.9434185
1747062827810,0.7326257,-1.2497733,9.842862
1747062827814,0.62728083,-1.0606314,9.59626
1747062827827,0.45729253,-0.9696517,9.634567
1747062827845,0.2753332,-0.878672,9.838074
1747062827845,0.1316811,-0.80684596,9.9099
1747062827861,0.031124622,-0.7182605,9.885958
1747062827864,-0.02633622,-0.61052144,9.888352
1747062827877,-0.011971008,-0.5386954,9.878776
1747062827884,-0.045489833,-0.4429273,9.703999
1747062827894,-0.11252748,-0.34476504,9.557953
1747062827911,-0.20829555,-0.32321724,9.613019
1747062827914,-0.33039984,-0.2873042,9.656115
1747062827928,-0.4237737,-0.30885202,9.653721
1747062827934,-0.50996494,-0.34955344,9.603442
1747062827944,-0.5434838,-0.34715924,9.581895
1747062827961,-0.5410896,-0.36391866,9.541193
1747062827964,-0.5243302,-0.40701428,9.471761
1747062827977,-0.533907,-0.4309563,9.493309
1747062827984,-0.5386954,-0.44532153,9.610625
1747062827994,-0.5315128,-0.47884035,9.672874
1747062828011,-0.49559975,-0.5363012,9.644144
1747062828014,-0.44771573,-0.58418524,9.67048
1747062828027,-0.39983168,-0.6368576,9.720758
1747062828035,-0.35913026,-0.6631939,9.71597
1747062828046,-0.34715924,-0.6943185,9.708787
1747062828062,-0.3184288,-0.6631939,9.701605
1747062828064,-0.31603462,-0.7110779,9.67048
1747062828081,-0.37349546,-0.7517793,9.660903
1747062828084,-0.44771573,-0.7757214,9.718364
1747062828094,-0.50996494,-0.80445176,9.794978
1747062828111,-0.5650316,-0.8595184,9.842862
1747062828115,-0.6368576,-0.89303726,9.876381
1747062828129,-0.6584055,-0.8523358,9.842862
1747062828144,-0.7398083,-0.78290397,9.739912
1747062828145,-0.80445176,-0.6967127,9.713575
1747062828162,-0.8762778,-0.60333884,9.593865
1747062828163,-0.9552865,-0.51714754,9.476549
1747062828177,-1.0247183,-0.45250413,9.486126
1747062828194,-1.13964,-0.4189853,9.591472
1747062828194,-1.163582,-0.41180268,9.656115
1747062828211,-1.1731589,-0.4309563,9.646538
1747062828214,-1.1707647,-0.40701428,9.632173
