timestamp,x,y,z
1747062827310,-0.6726086,-0.08147168,9.783217
1747062827315,-0.6072349,-0.12255641,9.787065
1747062827329,-0.5456856,-0.16356644,9.79009
1747062827343,-0.48812494,-0.20410408,9.792368
1747062827345,-0.43474904,-0.24422668,9.793964
1747062827360,-0.38495868,-0.28410417,9.794972
1747062827366,-0.33664757,-0.32482252,9.7954855
1747062827377,-0.28691247,-0.36711115,9.795575
1747062827393,-0.2328792,-0.411058,9.795263
1747062827394,-0.18238582,-0.4338578,9.79535
1747062827410,-0.1286888,-0.45612505,9.795191
1747062827414,-0.07456629,-0.47815332,9.794703
1747062827427,-0.021316601,-0.49876502,9.793936
1747062827444,0.031266443,-0.5186496,9.792876
1747062827444,0.08307428,-0.53811604,9.791523
1747062827459,0.12917937,-0.5561494,9.790015
1747062827464,0.17005102,-0.5714356,9.78851
1747062827477,0.20708002,-0.58386487,9.787063
1747062827495,0.2403961,-0.59356683,9.785718
1747062827495,0.2690231,-0.60099375,9.784519
1747062827509,0.2925287,-0.6065611,9.783502
1747062827515,0.31290656,-0.61071545,9.782612
1747062827526,0.33203942,-0.6135225,9.781806
1747062827542,0.3503215,-0.614121,9.781131
1747062827545,0.3676015,-0.61198515,9.78063
1747062827560,0.38479742,-0.6074773,9.78025
1747062827564,0.40119335,-0.6017792,9.779943
1747062827577,0.41559082,-0.5952565,9.779741
1747062827593,0.42765298,-0.5873349,9.7797
1747062827594,0.43366128,-0.5768031,9.780063
1747062827611,0.4347171,-0.5650054,9.780704
1747062827616,0.43150985,-0.55315566,9.781524
1747062827626,0.42531973,-0.5427875,9.782375
1747062827644,0.41715038,-0.5344218,9.783188
1747062827644,0.4080398,-0.5275284,9.783946
1747062827660,0.39927757,-0.5210597,9.784655
1747062827666,0.39093527,-0.5133129,9.7854
1747062827677,0.38266328,-0.50235486,9.786297
1747062827694,0.37709072,-0.48811606,9.787233
1747062827694,0.37449086,-0.47290093,9.78808
1747062827710,0.37004068,-0.45970482,9.7888775
1747062827715,0.35852608,-0.45015886,9.78975
1747062827728,0.34048197,-0.4442607,9.790664
1747062827743,0.3173076,-0.44144145,9.79157
1747062827744,0.29024833,-0.4416828,9.7923975
1747062827760,0.26129457,-0.44752955,9.792948
1747062827765,0.23375265,-0.45626307,9.7932415
1747062827777,0.20995243,-0.46545804,9.793347
1747062827793,0.18987909,-0.47256193,9.793417
1747062827794,0.17079139,-0.47622994,9.7935915
1747062827810,0.14934634,-0.47609365,9.793948
1747062827815,0.12418888,-0.4726792,9.794465
1747062827827,0.095668495,-0.4671524,9.79505
1747062827845,0.06300368,-0.46019745,9.795644
1747062827845,0.027267288,-0.45220762,9.796181
1747062827861,-0.008795904,-0.4433181,9.79662
1747062827864,-0.043629464,-0.43332022,9.796975
1747062827877,-0.077418245,-0.42207626,9.797256
1747062827894,-0.110447586,-0.4097491,9.797463
1747062827894,-0.14283252,-0.39696753,9.797571
1747062827911,-0.17580847,-0.38481656,9.79752
1747062827915,-0.21021949,-0.37365884,9.797274
1747062827928,-0.24493203,-0.36397645,9.796832
1747062827944,-0.27810282,-0.35543358,9.79626
1747062827945,-0.30320555,-0.35323036,9.795595
1747062827961,-0.32855356,-0.35019413,9.794887
1747062827964,-0.35293362,-0.34711167,9.794148
1747062827977,-0.37567273,-0.34434527,9.7934
1747062827994,-0.39676943,-0.34274775,9.7926235
1747062827995,-0.4166852,-0.3423239,9.791812
1747062828011,-0.43483117,-0.3432775,9.79099
1747062828015,-0.45049238,-0.34570307,9.790195
1747062828027,-0.46397603,-0.349616,9.789427
1747062828045,-0.4759142,-0.35498032,9.788661
1747062828046,-0.4865918,-0.3615552,9.787895
1747062828062,-0.4970283,-0.36928067,9.787083
1747062828064,-0.50791496,-0.37751573,9.786209
1747062828081,-0.5205262,-0.38651142,9.785195
1747062828094,-0.53426653,-0.39658096,9.784052
1747062828094,-0.5494267,-0.4075602,9.782761
1747062828111,-0.56609946,-0.41886124,9.781333
1747062828115,-0.5838046,-0.43011296,9.779803
1747062828129,-0.60299903,-0.44109064,9.77815
1747062828145,-0.62387687,-0.45054767,9.776409
1747062828145,-0.64726895,-0.45735922,9.774571
1747062828162,-0.6735711,-0.46068197,9.772638
1747062828164,-0.70244414,-0.46068367,9.770605
1747062828177,-0.73318535,-0.45801166,9.768473
1747062828193,-0.7654572,-0.45389912,9.766189
1747062828196,-0.79897094,-0.44911844,9.763725
1747062828212,-0.832246,-0.4439492,9.761182
1747062828215,-0.8645788,-0.43857756,9.758615
1747062828227,-0.8963197,-0.4325685,9.756018
1747062828244,-0.9280541,-0.4251722,9.753375
1747062828244,-0.9599559,-0.41652694,9.75066
1747062828261,-0.9918625,-0.40681848,9.747876
1747062828264,-1.0241269,-0.39659825,9.744961
1747062828277,-1.0567957,-0.38619334,9.74189
1747062828295,-1.0897018,-0.37587622,9.7386675
1747062828295,-1.1238642,-0.36604238,9.73516
1747062828311,-1.1603129,-0.35679337,9.731226
1747062828314,-1.1989955,-0.3481221,9.72685
1747062828328,-1.2387962,-0.34040827,9.722135
