timestamp,x,y,z
1746975234967,-1.8962077,-9.644144,-0.61052144
1746975234967,-1.934515,-9.581895,-0.6368576
1746975234967,-1.922544,-9.622596,-0.6679823
1746975234993,-1.9488802,-9.632173,-0.62728083
1746975234993,-1.9608512,-9.641749,-0.62249243
1746975234996,-1.9273324,-9.660903,-0.6607997
1746975235019,-1.9321208,-9.692028,-0.6775591
1746975235020,-1.8866309,-9.69921,-0.6679823
1746975235047,-1.8650831,-9.730335,-0.6751649
1746975235047,-1.8076223,-9.692028,-0.6895301
1746975235048,-1.7477672,-9.684845,-0.6799533
1746975235070,-1.7238252,-9.703999,-0.6392518
1746975235071,-1.7310078,-9.684845,-0.62249243
1746975235092,-1.7501614,-9.663298,-0.6775591
1746975235093,-1.7741034,-9.675268,-0.6679823
1746975235096,-1.8028339,-9.701605,-0.6464345
1746975235120,-1.8028339,-9.713575,-0.6512229
1746975235120,-1.8100165,-9.711182,-0.6727707
1746975235143,-1.7884687,-9.768642,-0.6584055
1746975235144,-1.7956513,-9.80695,-0.62967503
1746975235166,-1.7956513,-9.780613,-0.61052144
1746975235167,-1.8124107,-9.727941,-0.60812724
1746975235167,-1.8076223,-9.663298,-0.62009823
1746975235189,-1.7812861,-9.608231,-0.6512229
1746975235189,-1.7836803,-9.589077,-0.6679823
1746975235211,-1.7980455,-9.636961,-0.6488287
1746975235212,-1.7884687,-9.735124,-0.60812724
1746975235234,-1.7812861,-9.80695,-0.61770403
1746975235234,-1.7812861,-9.771036,-0.60812724
1746975235255,-1.8028339,-9.723152,-0.58657944
1746975235255,-1.7860745,-9.648932,-0.59376204
1746975235257,-1.7525556,-9.591472,-0.60333884
1746975235278,-1.7525556,-9.572318,-0.6584055
1746975235279,-1.7812861,-9.610625,-0.6703765
1746975235305,-1.8531121,-9.675268,-0.62967503
1746975235306,-1.8674773,-9.735124,-0.59376204
1746975235308,-1.8746599,-9.749489,-0.5291186
1746975235332,-1.8674773,-9.703999,-0.51235914
1746975235332,-1.8483237,-9.665691,-0.51954174
1746975235357,-1.8507179,-9.646538,-0.5554548
1746975235358,-1.8579005,-9.634567,-0.61291564
1746975235358,-1.8579005,-9.646538,-0.62488663
1746975235382,-1.8195933,-9.663298,-0.6368576
1746975235383,-1.8028339,-9.701605,-0.6392518
1746975235406,-1.7812861,-9.711182,-0.6368576
1746975235406,-1.7741034,-9.711182,-0.6392518
1746975235406,-1.7980455,-9.703999,-0.6631939
1746975235431,-1.7908629,-9.682451,-0.6560113
